"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POP","TOT","MLN_PER","A","2010",22.032,
"AUS","POP","TOT","MLN_PER","A","2011",22.34,
"AUS","POP","TOT","MLN_PER","A","2012",22.728,
"AUT","POP","TOT","MLN_PER","A","2010",8.361069,
"AUT","POP","TOT","MLN_PER","A","2011",8.388534,
"AUT","POP","TOT","MLN_PER","A","2012",8.426311,
"BEL","POP","TOT","MLN_PER","A","2010",10.92027,
"BEL","POP","TOT","MLN_PER","A","2011",11.04774,
"BEL","POP","TOT","MLN_PER","A","2012",11.12825,
"CAN","POP","TOT","MLN_PER","A","2010",34.12655,
"CAN","POP","TOT","MLN_PER","A","2011",34.48398,
"CAN","POP","TOT","MLN_PER","A","2012",34.88049,"B"
"CZE","POP","TOT","MLN_PER","A","2010",10.51725,
"CZE","POP","TOT","MLN_PER","A","2011",10.49667,
"CZE","POP","TOT","MLN_PER","A","2012",10.50929,
"DNK","POP","TOT","MLN_PER","A","2010",5.547683,
"DNK","POP","TOT","MLN_PER","A","2011",5.570572,
"DNK","POP","TOT","MLN_PER","A","2012",5.591572,
"FIN","POP","TOT","MLN_PER","A","2010",5.363,
"FIN","POP","TOT","MLN_PER","A","2011",5.388,
"FIN","POP","TOT","MLN_PER","A","2012",5.414,
"FRA","POP","TOT","MLN_PER","A","2010",62.91779,
"FRA","POP","TOT","MLN_PER","A","2011",63.22316,
"FRA","POP","TOT","MLN_PER","A","2012",63.514,
"DEU","POP","TOT","MLN_PER","A","2010",81.715,
"DEU","POP","TOT","MLN_PER","A","2011",80.249,
"DEU","POP","TOT","MLN_PER","A","2012",80.413,
"GRC","POP","TOT","MLN_PER","A","2010",11.153,
"GRC","POP","TOT","MLN_PER","A","2011",11.124,
"GRC","POP","TOT","MLN_PER","A","2012",11.09,"B"
"HUN","POP","TOT","MLN_PER","A","2010",10,
"HUN","POP","TOT","MLN_PER","A","2011",9.972,
"HUN","POP","TOT","MLN_PER","A","2012",9.92,
"ISL","POP","TOT","MLN_PER","A","2010",0.318006,
"ISL","POP","TOT","MLN_PER","A","2011",0.319014,
"ISL","POP","TOT","MLN_PER","A","2012",0.320716,
"IRL","POP","TOT","MLN_PER","A","2010",4.5548,
"IRL","POP","TOT","MLN_PER","A","2011",4.5749,
"IRL","POP","TOT","MLN_PER","A","2012",4.5854,
"ITA","POP","TOT","MLN_PER","A","2010",59.41965,
"ITA","POP","TOT","MLN_PER","A","2011",59.65969,
"ITA","POP","TOT","MLN_PER","A","2012",59.89803,
"JPN","POP","TOT","MLN_PER","A","2010",128.057,
"JPN","POP","TOT","MLN_PER","A","2011",127.799,
"JPN","POP","TOT","MLN_PER","A","2012",127.515,
"KOR","POP","TOT","MLN_PER","A","2010",49.41037,"B"
"KOR","POP","TOT","MLN_PER","A","2011",49.77944,
"KOR","POP","TOT","MLN_PER","A","2012",50.00444,
"LUX","POP","TOT","MLN_PER","A","2010",0.5021,
"LUX","POP","TOT","MLN_PER","A","2011",0.5118,
"LUX","POP","TOT","MLN_PER","A","2012",0.5249,
"MEX","POP","TOT","MLN_PER","A","2010",114.2556,
"MEX","POP","TOT","MLN_PER","A","2011",115.6829,
"MEX","POP","TOT","MLN_PER","A","2012",117.0538,
"NLD","POP","TOT","MLN_PER","A","2010",16.61539,
"NLD","POP","TOT","MLN_PER","A","2011",16.69307,
"NLD","POP","TOT","MLN_PER","A","2012",16.75496,
"NZL","POP","TOT","MLN_PER","A","2010",4.3507,
"NZL","POP","TOT","MLN_PER","A","2011",4.384,
"NZL","POP","TOT","MLN_PER","A","2012",4.4081,
"NOR","POP","TOT","MLN_PER","A","2010",4.889,
"NOR","POP","TOT","MLN_PER","A","2011",4.953,
"NOR","POP","TOT","MLN_PER","A","2012",5.019,
"POL","POP","TOT","MLN_PER","A","2010",38.517,
"POL","POP","TOT","MLN_PER","A","2011",38.526,
"POL","POP","TOT","MLN_PER","A","2012",38.534,
"PRT","POP","TOT","MLN_PER","A","2010",10.5731,
"PRT","POP","TOT","MLN_PER","A","2011",10.55756,
"PRT","POP","TOT","MLN_PER","A","2012",10.51484,
"SVK","POP","TOT","MLN_PER","A","2010",5.391428,
"SVK","POP","TOT","MLN_PER","A","2011",5.398384,
"SVK","POP","TOT","MLN_PER","A","2012",5.407579,
"ESP","POP","TOT","MLN_PER","A","2010",46.56248,
"ESP","POP","TOT","MLN_PER","A","2011",46.73626,
"ESP","POP","TOT","MLN_PER","A","2012",46.7664,
"SWE","POP","TOT","MLN_PER","A","2010",9.378126,
"SWE","POP","TOT","MLN_PER","A","2011",9.449212,
"SWE","POP","TOT","MLN_PER","A","2012",9.519374,
"CHE","POP","TOT","MLN_PER","A","2010",7.82797,
"CHE","POP","TOT","MLN_PER","A","2011",7.912398,
"CHE","POP","TOT","MLN_PER","A","2012",7.996861,
"TUR","POP","TOT","MLN_PER","A","2010",73.14215,
"TUR","POP","TOT","MLN_PER","A","2011",74.22363,
"TUR","POP","TOT","MLN_PER","A","2012",75.17583,
"GBR","POP","TOT","MLN_PER","A","2010",61.91464,
"GBR","POP","TOT","MLN_PER","A","2011",62.4352,
"GBR","POP","TOT","MLN_PER","A","2012",62.8588,
"USA","POP","TOT","MLN_PER","A","2010",309.3471,
"USA","POP","TOT","MLN_PER","A","2011",311.7216,
"USA","POP","TOT","MLN_PER","A","2012",314.1121,
"BRA","POP","TOT","MLN_PER","A","2010",193.2526,
"BRA","POP","TOT","MLN_PER","A","2011",197.8253,
"BRA","POP","TOT","MLN_PER","A","2012",199.6889,
"CHL","POP","TOT","MLN_PER","A","2010",17.06614,
"CHL","POP","TOT","MLN_PER","A","2011",17.25553,
"CHL","POP","TOT","MLN_PER","A","2012",17.4448,
"COL","POP","TOT","MLN_PER","A","2010",45.50959,
"COL","POP","TOT","MLN_PER","A","2011",46.0446,
"COL","POP","TOT","MLN_PER","A","2012",46.58182,
"EST","POP","TOT","MLN_PER","A","2010",1.331475,
"EST","POP","TOT","MLN_PER","A","2011",1.327439,
"EST","POP","TOT","MLN_PER","A","2012",1.322696,
"ISR","POP","TOT","MLN_PER","A","2010",7.6236,
"ISR","POP","TOT","MLN_PER","A","2011",7.7658,
"ISR","POP","TOT","MLN_PER","A","2012",7.9105,
"RUS","POP","TOT","MLN_PER","A","2010",142.849,
"RUS","POP","TOT","MLN_PER","A","2011",142.961,
"RUS","POP","TOT","MLN_PER","A","2012",143.207,
"SVN","POP","TOT","MLN_PER","A","2010",2.049261,
"SVN","POP","TOT","MLN_PER","A","2011",2.052496,
"SVN","POP","TOT","MLN_PER","A","2012",2.056262,
"CHN","POP","TOT","MLN_PER","A","2010",1359.822,
"CHN","POP","TOT","MLN_PER","A","2011",1368.44,
"CHN","POP","TOT","MLN_PER","A","2012",1377.065,
"IND","POP","TOT","MLN_PER","A","2010",1205.625,
"IND","POP","TOT","MLN_PER","A","2011",1221.156,
"IND","POP","TOT","MLN_PER","A","2012",1236.687,
"IDN","POP","TOT","MLN_PER","A","2010",240.6765,
"IDN","POP","TOT","MLN_PER","A","2011",243.8016,
"IDN","POP","TOT","MLN_PER","A","2012",246.8642,
"ZAF","POP","TOT","MLN_PER","A","2010",50.792,
"ZAF","POP","TOT","MLN_PER","A","2011",51.554,
"ZAF","POP","TOT","MLN_PER","A","2012",52.341,
"EU28","POP","TOT","MLN_PER","A","2010",503.8325,
"EU28","POP","TOT","MLN_PER","A","2011",505.0353,
"EU28","POP","TOT","MLN_PER","A","2012",506.1001,
"OECD","POP","TOT","MLN_PER","A","2010",1236.914,"B"
"OECD","POP","TOT","MLN_PER","A","2011",1243.751,"B"
"OECD","POP","TOT","MLN_PER","A","2012",1250.277,
"LVA","POP","TOT","MLN_PER","A","2010",2.098,
"LVA","POP","TOT","MLN_PER","A","2011",2.06,
"LVA","POP","TOT","MLN_PER","A","2012",2.034,
